gps;mode;;
6988;;;
7010;;;
7037;;;
7005;;;
7028;;;
6995;;;
6937;;;
6867;;;
6771;;;
6648;;;
6500;;;
6343;;;
6551;;;
6690;;;
6576;;;
6719;;;
6602;;;
6488;;;
6299;;;
6057;;;
5809;;;
6082;;;
6299;;;
6006;;;
5702;;;
5956;;;
6184;;;
6387;;;
6184;;;
5956;;;
6256;;;
6454;;;
6589;;;
6719;;;
6805;;;
6889;;;
6942;;;
6998;;;
7025;;;
7049;;;
7017;;;
6983;;;
6919;;;
6983;;;
6942;;;
6977;;;
6906;;;
6971;;;
7014;;;
7035;;;
7060;;;
7027;;;
6988;;;
6918;;;
6854;;;
6764;;;
6853;;;
6758;;;
6650;;;
6748;;;
6853;;;
6906;;;
6553;;;
7011;;;
6959;;;
7011;;;
7033;;;
7005;;;
7027;;;
6994;;;
7025;;;
6976;;;
7016;;;
6959;;;
7008;;;
7033;;;
7055;;;
7077;;;
7044;;;
7069;;;
7093;;;
7115;;;
7077;;;
7050;;;
7074;;;
7093;;;
7120;;;
7139;;;
7104;;;
7134;;;
7161;;;
7131;;;
7104;;;
7131;;;
7104;;;
7071;;;
7098;;;
7069;;;
7090;;;
7055;;;
7009;;;
7044;;;
6980;;;
7033;;;
6963;;;
7016;;;
7047;;;
7069;;;
7036;;;
6974;;;
7033;;;
7060;;;
7080;;;
7101;;;
7121;;;
7091;;;
7063;;;
7033;;;
6975;;;
7022;;;
7050;;;
7072;;;
7097;;;
7121;;;
7054;;;
7116;;;
7089;;;
7108;;;
7135;;;
7102;;;
7069;;;
7094;;;
7069;;;
7094;;;
7069;;;
7039;;;
6974;;;
7039;;;
7066;;;
7091;;;
7058;;;
7015;;;
6957;;;
7021;;;
6962;;;
6892;;;
7118;;;
7170;;;
7210;;;
7231;;;
7256;;;
7281;;;
7203;;;
7322;;;
7342;;;
7306;;;
7274;;;
7293;;;
7312;;;
7334;;;
7306;;;
7334;;;
7306;;;
7282;;;
7246;;;
7270;;;
7291;;;
7264;;;
7231;;;
7198;;;
7220;;;
7195;;;
7217;;;
7190;;;
